state,district,district_number,candidate,party,ballotpedia_status,election_phase,incumbent,candidate_connection,candidate_url,source_url,raw_candidate_text,source_table_index,source_table_columns,section_note
Texas,District 9,9,Deddrick Wilmer,Republican Party,did_not_make_ballot,Republican primary,False,False,https://ballotpedia.org/Deddrick_Wilmer,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Deddrick Wilmer,,,
Texas,District 10,10,Caitlin Rourk,Democratic Party,active,General election,False,True,https://ballotpedia.org/Caitlin_Rourk,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Caitlin Rourk (Democratic Party),,,
Texas,District 10,10,Chris Gober,Republican Party,active,General election,False,True,https://ballotpedia.org/Chris_Gober,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Chris Gober (Republican Party),,,
Texas,District 10,10,Dawn Marshall,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Dawn_Marshall,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Dawn Marshall,,,
Texas,District 10,10,Bernie Reyna,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Bernie_Reyna,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Bernie Reyna,,,
Texas,District 10,10,Caitlin Rourk,Democratic Party,active,Democratic primary,False,True,https://ballotpedia.org/Caitlin_Rourk,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Caitlin Rourk,,,
Texas,District 10,10,Tayhlor Coleman,Democratic Party,did_not_make_ballot,Democratic primary,False,False,https://ballotpedia.org/Tayhlor_Coleman,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Tayhlor Coleman,,,
Texas,District 10,10,Sarah Eckhardt,Democratic Party,did_not_make_ballot,Democratic primary,False,False,https://ballotpedia.org/Sarah_Eckhardt,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Sarah Eckhardt,,,
Texas,District 10,10,Linda Trevino,Democratic Party,did_not_make_ballot,Democratic primary,False,False,https://ballotpedia.org/Linda_Trevino,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Linda Trevino,,,
Texas,District 10,10,Rob Altman,Republican Party,active,Republican primary,False,True,https://ballotpedia.org/Rob_Altman,"https://ballotpedia.org/United_States_House_of_Representatives_elections_in_Texas,_2026",Rob Altman,,,
